,body,title
0,https://www.udemy.com/home/my-courses/learning/,Udemy/Web-Development
1,https://www.linkedin.com/learning/me/in-progress,Linkedin Learning Progress
2,6031,AI-Python
3,601,Linux Complete Guide
4,108,Bash Shell Scripting
5,112,Farscape
6,"['backup Seagate', 'backup fedora backups, videos folder', 'backup windows', 'backup 700 HDD']",Tit USB
7,"['add directions', 'get entry text from selecting row', 'table fill whole frame']",anydb.py
8,"['speed up after awhile', 'fix block rotation at edge issue']",Tetris
9,BudgetCrud (look on todoist app for specifics),BudgetCrud (look on todoist app for specifics)
10,Unfinished folder,Unfinished folder
11,204,IDOAG
12,"regex to read all matched notes, append new bodies to a list, convert md to json and then list notes from conversion, change todo alias to read todo.md instead, fix pytodo alias, pandas mtodo.json or md to sql",todonotes
13,6031 7:01,Nodejs Development
